trial_number,eval_loss,rank,alpha_ratio,alpha,dropout,target_mlp,lr,weight_decay,lr_scheduler,warmup_ratio,grad_accum_steps,pruned_at_step
53,0.1785358739644289,4,2,8,0.0,True,0.00012763310782494387,0.006689602628098132,linear,0.03,2,75
57,0.18027925480157136,4,2,8,0.0,True,0.00012960017613560212,4.00300196958358e-05,linear,0.03,2,75
0,0.1822653690725565,4,1,4,0.15,True,5.6115164153345e-05,1.2087541473056965e-06,linear,0.0,2,100
54,0.18380445824936031,4,2,8,0.0,True,0.0001366717318442553,3.5471446663173814e-05,linear,0.03,2,75
73,0.18482615903019906,8,1,8,0.05,True,3.0398910176278824e-05,0.00023000475171872718,cosine,0.1,1,75
99,0.1857199613121338,32,1,32,0.1,True,0.00020792413498389105,0.00011443310108958083,cosine,0.0,4,75
3,0.18629505310207606,16,1,16,0.05,False,2.4658447214487366e-05,0.0016172900811143157,cosine,0.0,1,100
1,0.18698017870076,4,2,8,0.0,True,3.8234752246751835e-05,1.5339162591163623e-06,linear,0.1,1,100
6,0.19258145247586073,32,2,64,0.15,False,0.00018484491720988634,8.160948743089919e-06,cosine,0.0,1,75
20,0.19411620737984778,16,1,16,0.0,True,1.7231760714244023e-05,0.009162638829638218,linear,0.1,1,75
75,0.19656117390841246,8,1,8,0.05,True,0.00030696141323527636,0.00019376965246265465,cosine,0.1,1,25
56,0.19893109023571015,4,2,8,0.0,True,0.00013674496877354923,4.757848066708898e-05,linear,0.03,2,25
79,0.19916649332037195,8,1,8,0.05,True,0.00028995040265599543,4.217008555787988e-06,cosine,0.1,1,75
9,0.20073014924302698,16,1,16,0.15,True,1.0793832090127281e-05,2.843767489444368e-06,linear,0.1,1,75
49,0.20191072089597584,4,2,8,0.0,True,0.00012706810749944428,0.005580353176066719,linear,0.03,2,25
88,0.20232575595378877,32,1,32,0.1,False,0.00019471257758679373,0.00010657197935098396,cosine,0.0,4,25
84,0.20273307397961615,8,1,8,0.05,True,0.00033969165343547563,0.000180323518442494,cosine,0.1,1,25
43,0.20329126240685583,4,2,8,0.0,True,0.0001256935767310123,4.4566758562614944e-05,linear,0.03,2,25
14,0.20386462685652076,32,2,64,0.15,False,0.0002477601652373693,0.0015602015889668865,cosine,0.03,4,75
50,0.206754379440099,4,2,8,0.0,True,0.00013655555308392692,6.69376269407683e-05,linear,0.03,2,25
78,0.206894445233047,8,1,8,0.05,True,0.00026960544929089406,0.00017098291189632795,cosine,0.1,1,25
97,0.20753599733114242,32,1,32,0.1,False,0.00020924023081814172,0.00011579077885909706,cosine,0.0,4,25
103,0.20792577776359394,32,1,32,0.1,False,0.0002122309926007897,0.00010709603911847203,cosine,0.0,4,75
60,0.20947799859568478,8,1,8,0.05,True,0.00036179333564287223,0.00021235689490839638,cosine,0.1,1,25
2,0.20993338314816357,16,1,16,0.1,True,0.000233596350262616,0.00015375920235481777,cosine,0.03,2,75
76,0.21517103284597397,8,1,8,0.05,True,0.00031000389765395794,0.0001874768748555541,cosine,0.1,1,25
100,0.21830675691366197,32,1,32,0.1,False,0.0002125616324875202,0.00010038063327207128,cosine,0.0,4,25
64,0.21846094191074372,8,1,8,0.05,True,0.00028951906666830517,0.0002326923273319827,cosine,0.1,1,25
4,0.2188293801760301,32,1,32,0.0,True,0.000348771262454593,0.000828752236376816,cosine,0.1,4,100
58,0.21889831200242044,8,1,8,0.05,True,0.0003155799732989915,0.00022675671091412916,cosine,0.1,1,25
65,0.2190414664708078,8,1,8,0.05,True,0.0003890927547145662,0.00022398410028686463,cosine,0.1,1,25
91,0.21962150909006595,32,1,32,0.1,False,0.00021670154984387114,0.00011142621171505323,cosine,0.0,4,25
101,0.22228261981159447,32,1,32,0.1,False,0.00020859054758157788,0.00010635342257315556,cosine,0.0,4,75
70,0.23344174787402153,8,1,8,0.05,True,0.0002848751378286443,4.212945180057304e-06,cosine,0.1,1,25
63,0.24809965878725052,8,1,8,0.05,True,0.00030434579003016393,0.00021331184228019597,cosine,0.1,1,25
37,0.25123264408670365,4,2,8,0.0,True,0.0001513480639173234,6.105780002955788e-05,linear,0.03,2,25
41,0.3460881096124649,4,2,8,0.0,True,7.82613722857235e-05,4.9773150539272785e-05,linear,0.03,2,25
5,0.510204821228981,4,2,8,0.05,True,9.718319944817387e-05,9.935023909063694e-06,cosine,0.1,2,25
23,0.5234490895271301,32,1,32,0.15,True,0.0004402710390447059,0.0010316033434719725,linear,0.0,1,25
15,0.5275823748111725,32,2,64,0.15,False,1.1800069021089958e-05,0.00012273630375458187,linear,0.0,4,25
32,0.5451147824525833,4,2,8,0.0,True,6.325243878517968e-05,6.960226244398212e-05,linear,0.03,2,25
10,0.6273116755485535,8,2,16,0.15,False,1.535343432485703e-05,0.00036993598999597523,cosine,0.0,2,75
7,0.8607706868648529,4,2,8,0.15,True,4.7340227734041895e-05,1.597766235483387e-05,linear,0.0,2,25
11,0.9984347248077392,8,1,8,0.05,False,2.0970853331431125e-05,0.0024939838794891503,linear,0.03,2,75
17,1.1507886385917663,4,1,4,0.05,False,3.6296754488993606e-05,2.912665166881379e-06,linear,0.0,2,75
8,1.8565979027748107,8,1,8,0.1,True,1.9489008462344228e-05,0.0003420730367009227,linear,0.0,4,25
24,2.173298411369324,4,2,8,0.1,False,1.0536764888032918e-05,1.3894673469237227e-05,linear,0.1,2,25
