layer,head,insertion_rate_masked,delta_insertion_rate,delta_repetition,delta_syntactic,delta_content,p_value_delta,regression_checked,non_indian_wer_masked,regression_ok
9,3,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
9,4,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
9,5,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
9,6,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
9,7,0.01248720573183214,0.00020470829068577195,0.0,0.0006141248720573185,-0.00040941658137154564,0.3749,False,,
9,8,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
9,9,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
9,10,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
9,11,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
9,12,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
9,13,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
9,14,0.012896622313203685,-0.0002047082906857737,0.0,0.00020470829068577282,-0.00040941658137154564,1.0,False,,
9,15,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
9,16,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
9,17,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
9,18,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
9,19,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
10,0,0.01248720573183214,0.00020470829068577195,0.0,0.0006141248720573185,-0.00040941658137154564,0.3751,False,,
10,1,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
10,2,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
10,3,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,0.6484,False,,
10,4,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,0.656,False,,
10,5,0.013101330603889457,-0.00040941658137154564,-0.00020470829068577277,0.00040941658137154564,-0.0006141248720573176,1.0,False,,
10,6,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
10,7,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
10,8,0.012077789150460594,0.0006141248720573176,0.0,0.0008188331627430913,-0.00020470829068577195,0.3737,True,0.067,True
10,9,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
10,10,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
